time,open,high,low,close,tick_volume,norm_price,norm_volume,price_change,volume_change
2025-06-19 18:20:00,5934.61,5934.61,5932.23,5932.36,28,-0.43558750798817447,-0.020324282662218005,-0.00042123992815334965,-0.03448275862068961
2025-06-19 18:21:00,5932.36,5932.36,5930.36,5930.36,30,-1.64394263688382,0.11075276732987625,-0.00033713395680634584,0.0714285714285714
2025-06-19 18:22:00,5930.23,5931.36,5929.61,5930.11,41,-1.588695380895663,0.6797734902896299,-4.215595680534534e-05,0.3666666666666667
2025-06-19 18:23:00,5930.11,5930.11,5927.61,5927.86,40,-2.358731409335659,0.5576062685084914,-0.0003794196060443733,-0.024390243902439046
2025-06-19 18:24:00,5927.61,5928.36,5927.61,5928.11,25,-1.887800176859133,-0.359244490248055,4.217373554715742e-05,-0.375
2025-06-19 18:25:00,5928.11,5928.61,5927.61,5928.11,21,-1.6425099948931008,-0.6364822104060577,0.0,-0.16000000000000003
2025-06-19 18:26:00,5928.11,5929.11,5927.86,5928.36,26,-1.3694818157988575,-0.40230148016930045,4.2171956998071636e-05,0.23809523809523814
2025-06-19 18:27:00,5928.36,5928.36,5927.36,5927.61,20,-1.5147655418429409,-0.7602023713780649,-0.00012651053579737503,-0.23076923076923073
2025-06-19 18:28:00,5927.61,5929.61,5927.36,5929.11,40,-0.8074070586498794,0.4968673941903574,0.0002530530854762958,1.0
2025-06-19 18:29:00,5928.86,5930.11,5928.86,5929.61,30,-0.5934411425142273,-0.08140665771214046,8.432968860416779e-05,-0.25
2025-06-19 18:30:00,5929.36,5930.11,5928.36,5928.86,46,-0.8447145035118937,0.897850521242752,-0.00012648386656122224,0.5333333333333334
2025-06-19 18:31:00,5928.86,5929.61,5927.36,5927.36,24,-1.318218875529016,-0.5562258733673021,-0.00025299973350689786,-0.4782608695652174
2025-06-19 18:32:00,5927.36,5928.36,5927.11,5927.36,32,-1.1929274430653192,-0.08507505138915254,0.0,0.33333333333333326
2025-06-19 18:33:00,5927.36,5928.36,5927.36,5927.61,18,-1.0037561368373293,-0.9430047554656997,4.2177293094969315e-05,-0.4375
2025-06-19 18:34:00,5927.61,5927.61,5925.86,5925.86,39,-1.4892087874030826,0.9531319690957145,-0.0002952285997223081,1.1666666666666665
2025-06-19 18:35:00,5925.86,5925.86,5923.11,5923.36,65,-2.060376489882872,2.7046415211509043,-0.0004218796934115643,0.6666666666666667
2025-06-19 18:36:00,5923.11,5923.61,5922.11,5922.61,30,-2.020222911619694,-0.07598109150332368,-0.00012661732530183656,-0.5384615384615384
2025-06-19 18:37:00,5922.61,5925.11,5922.61,5924.61,43,-1.254151135420034,0.9250779401220961,0.00033768895807750887,0.43333333333333335
2025-06-19 18:38:00,5924.61,5926.61,5924.61,5925.86,31,-0.7527932033767513,-0.1728476087326224,0.00021098435171262864,-0.2790697674418605
2025-06-19 18:39:00,5925.86,5926.86,5925.86,5926.61,25,-0.4155177931739487,-0.6935144865799379,0.00012656390802345818,-0.19354838709677424
