time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750354020,5930.61,5931.36,5930.61,5930.61,13,40,0,5929.996999999999,5928.009399999999,63.295269168026756,1
1750354080,5930.86,5930.86,5930.11,5930.86,19,40,0,5930.059499999999,5927.977,62.5,1
1750354140,5930.86,5932.11,5929.61,5929.86,32,40,0,5930.134499999999,5927.897000000001,43.47826086956522,1
1750354200,5929.86,5930.86,5928.36,5928.86,28,40,0,5930.066,5927.812,41.66666666666667,1
1750354260,5928.86,5929.36,5927.61,5927.61,29,40,0,5929.965999999999,5927.717,26.92307692307692,1
1750354320,5927.61,5928.36,5927.11,5927.11,14,40,0,5929.8285,5927.621999999999,26.92307692307692,1
1750354380,5927.36,5927.86,5925.61,5925.61,29,40,0,5929.66,5927.491999999999,23.33333333333333,1
1750354440,5925.61,5925.86,5924.61,5924.86,26,40,0,5929.4349999999995,5927.352,21.212121212121204,1
1750354500,5925.11,5925.86,5924.61,5925.86,22,40,0,5929.1975,5927.236999999999,25.714285714285722,1
1750354560,5925.86,5925.86,5924.36,5924.36,27,40,0,5928.9225,5927.134599999999,15.78947368421052,1
1750354620,5924.36,5927.36,5923.98,5927.11,48,40,0,5928.7474999999995,5927.1896,36.170212765957444,1
1750354680,5927.11,5930.11,5927.11,5928.86,51,40,0,5928.6849999999995,5927.4096,44.444444444444436,1
1750354740,5928.86,5929.86,5928.36,5928.86,38,40,0,5928.6475,5927.549599999999,43.39622641509434,1
1750354800,5928.86,5930.36,5928.36,5929.11,23,40,0,5928.6224999999995,5927.6795999999995,44.444444444444436,1
1750354860,5929.11,5930.11,5928.61,5929.11,30,40,0,5928.572499999999,5927.8546,44.444444444444436,1
1750354920,5928.61,5928.61,5927.36,5927.36,43,40,0,5928.397499999999,5927.9446,38.33333333333333,1
1750354980,5927.36,5927.36,5925.11,5925.86,38,40,0,5928.172499999999,5928.0196,37.09677419354839,1
1750355040,5925.86,5925.86,5923.61,5924.36,24,40,0,5927.8724999999995,5928.0596,35.9375,-1
1750355100,5924.36,5927.86,5924.11,5927.86,47,40,0,5927.735,5928.1122,50.68493150684931,-1
